order_id,order_date,customer_id,first_name,last_name,email,phone_number,address,zipcode,city,country,product_category,product_name,club,quantity,unit_price,total_amount,payment_method,order_status,discount_code,year_month
ORD-2022-00107467,2022-01-04 08:11:06,CUST-148910,Eva,Ahlgren,eva.ahlgren.148910@outlook.com,+46 73 378 2523,Parktorget 25,500 92,Gävle,Sweden,Training Gear,Värnamo Träningströja,Värnamo,1,426.0,499.06,Swish,Delivered,,2022-01
ORD-2022-01464819,2022-01-08 11:30:56,CUST-167563,Sophia,Andersson,sophia.andersson.167563@telia.se,+46 76 691 7123,Ängsvägen 293,754 47,Uppsala,Sweden,Membership,Sirius Familjemedlemskap,Sirius,2,833.0,1597.68,Card,Returned,NYSTART25,2022-01
ORD-2022-00241278,2022-01-08 12:20:21,CUST-115970,Josefine,Sandström,josefine.sandstrom.115970@telia.se,+46 79 286 6759,Industrigränd 84,217 80,Malmö,Sweden,Scarf,GIF Sundsvall Matchhalsduk,GIF Sundsvall,3,270.0,1145.36,Swish,Shipped,,2022-01
ORD-2022-01407538,2022-01-08 21:39:49,CUST-038328,Robin,Jonsson,robin.jonsson.38328@outlook.com,+46 72 327 6230,Nyvägen 846,214 66,Malmö,Sweden,Season Pass,Varbergs BoIS Säsongskort 2024,Varbergs BoIS,2,3425.0,10556.31,Swish,Delivered,,2022-01
ORD-2022-00044584,2022-01-10 11:47:08,CUST-029516,Gabriella,Jönsson,gabriella.jonsson.29516@hotmail.se,+46 76 986 1232,Skoltorget 176,127 73,Stockholm,Sweden,Jersey,Hammarby IF Retro Tröja,Hammarby IF,1,656.0,878.93,Swish,Delivered,,2022-01
ORD-2022-01427871,2022-01-12 21:43:19,CUST-076554,Carola,Hagberg,carola.hagberg.76554@hotmail.se,+46 79 487 0345,Åkervägen 721,128 05,Stockholm,Sweden,Jersey,AIK Bortatröja 2024,AIK,2,911.0,3079.24,Klarna,Delivered,,2022-01
ORD-2022-01476101,2022-01-14 22:16:22,CUST-168659,Jesper,Larsson,jesper.larsson.168659@telia.se,+46 73 249 4603,Skolvägen 52,583 67,Linköping,Sweden,Accessories,SEF Mugg,SEF,2,74.0,234.61,Swish,Delivered,,2022-01
ORD-2022-00990071,2022-01-17 19:49:31,CUST-094822,Aaron,Nilsson,aaron.nilsson.94822@spray.se,+46 76 223 2735,Villagatan 22,418 94,Göteborg,Sweden,Training Gear,IFK Göteborg Träningströja,IFK Göteborg,4,610.0,3750.86,Swish,Delivered,,2022-01
ORD-2022-01060303,2022-01-18 08:07:30,CUST-122703,Susanna,Jönsson,susanna.jonsson.122703@outlook.com,+46 70 548 7078,Industrivägen 49,411 62,Göteborg,Sweden,Match Ticket,SEF VIP-biljett,SEF,1,495.0,334.4,Klarna,Delivered,,2022-01
ORD-2022-01050185,2022-01-19 13:25:56,CUST-090272,Marianne,Mohammed,marianne.mohammed.90272@telia.se,+46 72 717 5672,Skogsvägen 69,432 18,Varberg,Sweden,Digital Content,IF Elfsborg Wallpaper Pack,IF Elfsborg,1,171.0,166.73,Swish,Cancelled,NYSTART25,2022-01
ORD-2022-00109222,2022-01-19 13:37:54,CUST-097716,Eva,Lindblad,eva.lindblad.97716@hotmail.se,+46 73 387 3729,Aspgränd 4,585 36,Linköping,Sweden,Scarf,Malmö FF Matchhalsduk,Malmö FF,2,394.0,928.63,Card,Delivered,,2022-01
ORD-2022-01460715,2022-01-21 18:52:00,CUST-183358,Johnny,Peterson,johnny.peterson.183358@gmail.com,437-935-3576x65882,5538 Moore Stream Apt. 925,76409,Tampere,Finland,Scarf,Hammarby IF Vinterskarf,Hammarby IF,1,335.0,591.17,Klarna,Cancelled,,2022-01
ORD-2022-01144544,2022-01-24 21:09:28,CUST-083710,Erik,Göransson,erik.goransson.83710@gmail.com,+46 70 745 1141,Ekgatan 9,394 92,Kalmar,Sweden,Match Ticket,Kalmar FF Matchbiljett,Kalmar FF,1,278.0,197.44,Klarna,Delivered,,2022-01
ORD-2022-01107290,2022-01-28 07:15:54,CUST-055119,Jenny,Karlsson,jenny.karlsson.55119@outlook.com,+46 79 242 2606,Kvarngränd 75,414 03,Göteborg,Sweden,Digital Content,Häcken Matchprogram Digital,Häcken,4,47.0,205.68,Card,Delivered,,2022-01
ORD-2022-00993858,2022-02-01 12:54:09,CUST-186760,Rachel,Ramos,rachel.ramos.186760@yahoo.com,599.770.9214x17870,419 Michael Meadow Suite 932,74927,Tampere,Finland,Training Gear,Djurgårdens IF Shorts,Djurgårdens IF,2,734.0,2558.05,Swish,Delivered,,2022-02
ORD-2022-00322874,2022-02-10 21:52:38,CUST-079686,Sune,Larsson,sune.larsson.79686@outlook.com,+46 72 339 0348,Bäckgatan 3,113 08,Stockholm,Sweden,Training Gear,IFK Norrköping Träningströja,IFK Norrköping,1,513.0,455.32,Swish,Shipped,,2022-02
ORD-2022-01244734,2022-02-12 13:52:50,CUST-069310,Dan,Karlsson,dan.karlsson.69310@hotmail.se,+46 73 145 8987,Industrivägen 22,100 02,Stockholm,Sweden,Jersey,SEF Retro Tröja,SEF,1,1209.0,1845.23,Card,Returned,,2022-02
ORD-2022-01171471,2022-02-13 12:13:01,CUST-164166,Tobias,Lindén,tobias.linden.164166@outlook.com,+46 79 662 4804,Furugatan 6,225 60,Lund,Sweden,Membership,Djurgårdens IF Juniormedlemskap,Djurgårdens IF,1,885.0,1400.82,Card,Delivered,VALENTINES,2022-02
ORD-2022-01216745,2022-02-16 19:12:37,CUST-093938,Linnéa,Larsson,linnea.larsson.93938@spray.se,+46 73 988 3702,Kyrkvägen 212,123 54,Stockholm,Sweden,Scarf,SEF Halsduk,SEF,3,291.0,1511.41,Swish,Delivered,FANCLUB10,2022-02
ORD-2022-00584803,2022-02-18 09:47:16,CUST-053771,Rune,Åkesson,rune.akesson.53771@telia.se,+46 70 985 9639,Parkgatan 3,752 54,Uppsala,Sweden,Season Pass,Sirius Säsongskort 2024,Sirius,3,4938.0,21527.11,Swish,Delivered,WELCOME15,2022-02
